,P115-0-5-7-D-AMFungi,GW-P115-7-F-AMFungi,P115-5-15-22-D-AMFungi,P115-22-F-AMFungi,P122-0-5-10-D-AMFungi,P122-10-F-AMFungi,P122-25-D-ITS2-AMFungi,P122-25-F-ITS2-AMFungi,P133-0-5-15-D-AMFungi,P133-15-F-AMFungi,P133-5-15-30-D-AMFungi,P133-30-F-AMFungi,P117-5-15-51-D-ITS2,DW-17-5-15-51-F-ITS2,P138-5-15-60-D-ITS2,DW-38-5-15-60-F-ITS2,P138-0-5-45-D-ITS2,LDW-38-0-5--45-F-ITS2,P141-0-5-95-D-ITS2,LDW-41-0-5-95-F-AMFungi,AM2-UF-0-5-D-AMFungi,AM2-UF-0-5-F-AMFungi,AM2-UF-5-15-D-AMFungi,AM2-UF-5-15-F-AMFungi,AM3-UF-0-5-D-AMFungi,AM3-UF-0-5-F-AMFungi,AM3-UF-5-15-D-AMFungi,AM3-UF-5-15-F-AMFungi,ECM2-UF-5-15-D-AMFungi,ECM2-5-15-F-AMFungi,ECM2-UF-0-5-D-AMFungi,ECM2-UF-0-5-F-AMFungi,MV6-Ref-0-5-D-AMFungi,MV6-Ref-0-5-F-AMFungi,MV6-Ref-5-15-D-AMFungi,MV6-Ref-5-15-F-AMFungi,MV9-Ref-0-5-D-AMFungi,MV9-Ref-0-5-F-AMFungi,MV9-Ref-5-15-D-AMFungi,MV9-Ref-5-15-F-AMFungi,123-0-5-67-D-AMFungi,23-0-5-67-F-AMFungi,P123-5-15-D-ITS2,23-5-15-82-F-AMFungi,P24-0-5-68-D-AMFungi,P24-0-5-68-F-AMFungi,P102-0-5-73-D-AMFungi,102-0-5-73-F-AMFungi,P102-5-15-D-AMFungi,P102-5-15-F-AMFungi,P102-0-5-D-AMFungi,P102-0-5-F-AMFungi,P18-0-5-D-AMFungi,P18-0-5-F-AMFungi,P18-5-15-D-AMFungi,P18-5-15-F-AMFungi,P19-5-15-D-AMFungi,P19-5-15-F-AMFungi,P4-0-5-D-AMFungi,P4-0-5-F-AMFungi,P4-5-15-D-AMFungi,P4-5-15-F-AMFungi,P55-0-5-D-AMFungi,P55-0-5-F-AMFungi,P55-5-15-D-AMFungi,P55-5-15-F-AMFungi,P6-0-5-D-AMFungi,P6-0-5-F-AMFungi,P6-5-15-D-AMFungi,P6-5-15-F-AMFungi
ASV3,0,0.089668616,0,0.411616162,0,0.068587896,0,0.381427072,0,0,0,0.272521503,0.329860159,0,0,0.61696562,0,0.463414634,0.297709924,0.141482739,0.006292135,0.011261261,0.01077804,0.24496788,0.124146493,0.284120491,0.087426326,0.328249337,0.536044362,0.785032647,0.45,0.569230769,0.133663366,0.483383686,0.320533833,0.39051332,0.011004127,0.693593315,0,0.543644717,0,0.104218362,0,0.186695279,0.397058824,0.075688073,0,0.537190083,0,0.339234904,0.011892963,0.033935934,0.002105263,0.016528926,0.034037881,0.095560129,0.013455932,0.059186638,0.038773275,0.029522613,0.030523256,0.059254328,0.054951345,0.046702592,0.052094522,0.09835194,0,0.233983287,0.048029557,0.0919967
ASV20,0,0,0.894736842,0,0,0,0.962252664,0.002098636,0,0,0.124645892,0,0,0.110827561,0.96997319,0.009342302,0.1375,0,0,0,0,0,0.001684069,0,0.016139044,0.001859427,0,0.00795756,0,0,0,0,0,0,0,0,0,0,0.00990099,0,0.711764706,0,0.987477639,0.001560671,0,0,0.127937337,0,0,0,0,0.002220108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117045455,0,0.067393459,0.144624167,0,0,0,0,0,0,0.229682366,0.161432161,0.152434593,0.259920107,0,0,0,0,0.097916667,0.119777159,0.113300493,0.138613861
ASV27,0,0,0,0.063131313,0,0,0,0.133394544,0,0,0,0.048890901,0.130518234,0,0,0.157698057,0,0.092140921,0,0.020373514,0,0,0,0.060385439,0.019242706,0.102268501,0.029469548,0.123507958,0,0.126569563,0,0,0,0.049848943,0.051276048,0.071474984,0,0.048746518,0,0,0,0.022332506,0,0,0,0.01310616,0,0,0,0.025608599,0,0,0,0,0,0.00999706,0,0.019970951,0.011391019,0,0,0.004926764,0.047510017,0.020785219,0.051557465,0.054226475,0,0.04178273,0,0.030115512
ASV29,0.95625,0.101364522,0,0.058080808,0.44,0.027665706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246179966,0.003595506,0,0.009430785,0.022269807,0,0,0.156188605,0.007128647,0,0,0,0,0.138613861,0,0,0,0,0,0,0.041347626,0,0.014061208,0,0.007803355,0,0.124180865,0.861618799,0.280991736,0.093106061,0.048055643,0.044598612,0.032032984,0,0,0,0,0,0.012345679,0.0033954,0.015075377,0.00962936,0.010918775,0,0,0.05424275,0.011164274,0,0,0.104679803,0.015264026
ASV31,0,0.138401559,0,0.131313131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145574855,0,0.077643387,0,0,0,0,0,0.038887132,0.064420218,0.040913416,0,0.018299882,0,0.064686857,0,0,0.157174151,0.07160804,0.117732558,0.039813582,0,0,0,0,0.35625,0.309192201,0.084975369,0.259488449
ASV43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074702886,0.025617978,0.02027027,0.09363422,0.023126338,0.014897579,0.005578282,0.027996071,0.013925729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11497105,0,0.120561842,0,0.068152031,0,0,0,0,0,0,0.034210526,0.019480519,0.108976119,0.06292267,0.084996636,0.075163399,0.002847755,0,0,0,0,0,0,0,0,0,0,0
ASV48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038409091,0,0.017343905,0.077386616,0,0,0,0,0,0,0.105038335,0.084170854,0.058321221,0.143541944,0,0,0,0,0.077083333,0.044568245,0.056650246,0.080445545
ASV50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08469697,0,0.019821606,0.035521725,0,0,0,0,0,0,0.089813801,0.060301508,0.039607558,0.124900133,0,0,0,0,0.039583333,0.045961003,0.036945813,0.059405941
ASV51,0,0,0,0,0,0.018443804,0,0.035414481,0,0,0,0,0.281327118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192307692,0.061881188,0,0.191290096,0.213775179,0,0.021587744,0.143366337,0.068912711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
